TweetID	Place27587	{u'full_name': u'Norwood, OH', u'url': u'https://api.twitter.com/1.1/geo/id/e18891c1461c61a9.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.4738311, 39.1446961], [-84.433618, 39.1446961], [-84.433618, 39.178205], [-84.4738311, 39.178205]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'e18891c1461c61a9', u'name': u'Norwood'}	
27588	{u'full_name': u'Golf Manor, OH', u'url': u'https://api.twitter.com/1.1/geo/id/5c8e1a54e80af3f5.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.455319, 39.182166], [-84.4378923, 39.182166], [-84.4378923, 39.197189], [-84.455319, 39.197189]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'5c8e1a54e80af3f5', u'name': u'Golf Manor'}	
27589	{u'full_name': u'White Oak, OH', u'url': u'https://api.twitter.com/1.1/geo/id/f23ba07ebf2e9c82.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.637123, 39.2044085], [-84.569018, 39.2044085], [-84.569018, 39.232544], [-84.637123, 39.232544]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'f23ba07ebf2e9c82', u'name': u'White Oak'}	
27590	{u'full_name': u'Lockland, OH', u'url': u'https://api.twitter.com/1.1/geo/id/b6fcb63416068dca.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.465839, 39.217371], [-84.4456688, 39.217371], [-84.4456688, 39.24176], [-84.465839, 39.24176]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'b6fcb63416068dca', u'name': u'Lockland'}	
27591	{u'full_name': u'Lincoln Heights, OH', u'url': u'https://api.twitter.com/1.1/geo/id/5de5f04388919891.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.467769, 39.235577], [-84.4462678, 39.235577], [-84.4462678, 39.250195], [-84.467769, 39.250195]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'5de5f04388919891', u'name': u'Lincoln Heights'}	
27592	{u'full_name': u'Greenhills, OH', u'url': u'https://api.twitter.com/1.1/geo/id/c4cb0cb2b921e9d2.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.536341, 39.259634], [-84.503097, 39.259634], [-84.503097, 39.2756161], [-84.536341, 39.2756161]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'c4cb0cb2b921e9d2', u'name': u'Greenhills'}	
27593	{u'full_name': u'Northbrook, OH', u'url': u'https://api.twitter.com/1.1/geo/id/aea5847916031795.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.5968058, 39.233783], [-84.5663923, 39.233783], [-84.5663923, 39.2579562], [-84.5968058, 39.2579562]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'aea5847916031795', u'name': u'Northbrook'}	
27594	{u'full_name': u'Colerain, OH', u'url': u'https://api.twitter.com/1.1/geo/id/7bd07c2b35428bd5.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.717285, 39.204358], [-84.562345, 39.204358], [-84.562345, 39.312056], [-84.717285, 39.312056]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'7bd07c2b35428bd5', u'name': u'Colerain'}	
27595	{u'full_name': u'White Oak, OH', u'url': u'https://api.twitter.com/1.1/geo/id/f23ba07ebf2e9c82.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.637123, 39.2044085], [-84.569018, 39.2044085], [-84.569018, 39.232544], [-84.637123, 39.232544]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'f23ba07ebf2e9c82', u'name': u'White Oak'}	
27596	{u'full_name': u'Blue Ash, OH', u'url': u'https://api.twitter.com/1.1/geo/id/137e9418bbb125f5.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.415272, 39.203372], [-84.354854, 39.203372], [-84.354854, 39.28067], [-84.415272, 39.28067]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'137e9418bbb125f5', u'name': u'Blue Ash'}	
27597	{u'full_name': u'Montgomery, OH', u'url': u'https://api.twitter.com/1.1/geo/id/2c1796fb117fcf54.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.373161, 39.219585], [-84.308574, 39.219585], [-84.308574, 39.27673], [-84.373161, 39.27673]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'2c1796fb117fcf54', u'name': u'Montgomery'}	
27598	{u'full_name': u'Deer Park, OH', u'url': u'https://api.twitter.com/1.1/geo/id/3a66081c38399259.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.408979, 39.195804], [-84.385156, 39.195804], [-84.385156, 39.211216], [-84.408979, 39.211216]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'3a66081c38399259', u'name': u'Deer Park'}	
27599	{u'full_name': u'Sharonville, OH', u'url': u'https://api.twitter.com/1.1/geo/id/f4f98739e07e926f.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.449769, 39.254798], [-84.3525674, 39.254798], [-84.3525674, 39.304105], [-84.449769, 39.304105]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'f4f98739e07e926f', u'name': u'Sharonville'}	
27600	{u'full_name': u'Anderson, OH', u'url': u'https://api.twitter.com/1.1/geo/id/6cdcf81b29a9bf4c.json', u'country': u'Estados Unidos', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-84.423447, 39.0216], [-84.301914, 39.0216], [-84.301914, 39.151931], [-84.423447, 39.151931]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'6cdcf81b29a9bf4c', u'name': u'Anderson'}	
